customer_id,customer_name,gender,age,country,customer_segment,order_id,order_date,shipping_date,delivery_date,delivery_time_days,order_status,product_id,product_name,product_category,sub_category,brand,supplier_name,quantity,unit_price,total_amount,discount_percentage,shipping_cost,profit,profit_margin,warehouse_location,shipping_provider,Customer_rating,return_flag,product_views,add_to_cart_count,repeat_purchase_flag,payment_method,sales_channel
CUST4728,Glenn Palmer,Female,30,Kenya,New,ORD000011,5/23/2022,5/28/2022,5/31/2022,3,Returned,PROD218,Auralis Men Wear,Fashion,Men Wear,Auralis,PrimeSource,5,116.79,583.95,59.05,21.77,201.3,34.47,Lagos,UPS,5,Yes,3583,72,No,Wallet,Marketplace
CUST3041,Anthony Flores,Male,50,South Africa,New,ORD000012,8/29/2023,1/9/2023,9/2/2023,1,Returned,PROD682,Auralis Cooling,Home Appliances,Cooling,Auralis,NextWave,1,394.26,394.26,26.51,102.97,51.71,13.12,Lagos,DHL,5,Yes,1974,345,No,Transfer,Mobile_App
CUST3414,,Male,48,Nigeria,New,ORD000013,3/2/2023,7/2/2023,2/17/2023,10,Delivered,PROD804,NovaTech Cooling,Home Appliances,Cooling,NovaTech,SupplyHub Ltd,7,1225.75,8580.25,55.05,22.6,-657.79,-7.67,Abuja,UPS,4,No,3702,163,No,Cash,Store
CUST5246,Ashley Lopez,Female,35,South Africa,Returning,ORD000014,7/17/2023,7/19/2023,7/19/2023,0,Returned,PROD653,NovaTech Women Wear,Fashion,Women Wear,NovaTech,PrimeSource,3,217.8,653.4,32.56,65.29,-23.68,-3.62,Abuja,GIG,1,No,98,12,Yes,Cash,Store
CUST9818,Richard Gilbert,Female,56,South Africa,New,ORD000015,11/6/2024,6/13/2024,6/12/2024,-1,Pending,PROD269,HyperGrid VR,Gaming,VR,HyperGrid,PrimeSource,1,238.14,238.14,52.01,31.35,-1.65,-0.69,Lagos,FedEx,4,No,2116,42,No,Card,Website
CUST6733,Miranda Ellis,Male,59,Nigeria,Vip,ORD000016,2/13/2023,2/18/2023,2/17/2023,-1,Delivered,PROD217,OmniCore VR,Gaming,VR,OmniCore,PrimeSource,8,787.61,6300.88,6.87,123.8,2398.09,38.06,Lagos,FedEx,4,No,1674,39,No,Transfer,Website
CUST5941,Vanessa Brennan,Female,25,Nigeria,New,ORD000017,5/27/2024,5/31/2024,6/4/2024,4,Returned,PROD942,HyperGrid Laptops,Electronics,Laptops,HyperGrid,SupplyHub Ltd,7,2409.81,16868.67,44.03,144.99,-24.54,-0.15,Accra,GIG,5,Yes,2061,45,No,Cash,Mobile_App
CUST8613,Amy Morris,Female,42,Nigeria,New,ORD000018,10/28/2023,10/28/2023,3/11/2023,6,Returned,PROD818,Auralis Shoes,Fashion,Shoes,Auralis,GlobalTech,1,87.58,87.58,14.42,74.03,21.15,24.15,Abuja,DHL,2,No,4814,378,No,Wallet,Store
CUST6419,Carolyn Perkins,Female,35,Kenya,New,ORD000019,1/30/2023,1/31/2023,1/31/2023,0,Delivered,PROD856,HyperGrid Kitchen,Home Appliances,Kitchen,HyperGrid,SupplyHub Ltd,5,1265.68,6328.4,42.48,23.35,-790.84,-12.5,Lagos,DHL,4,Yes,4752,292,No,Cash,Store
CUST6582,Cynthia Ward,Male,34,South Africa,New,ORD000020,5/14/2022,5/16/2022,5/22/2022,6,Pending,PROD252,OmniCore Smartphones,Electronics,Smartphones,OmniCore,GlobalTech,2,2486.01,4972.02,13.54,80.77,486.18,9.78,Abuja,UPS,3,No,862,54,No,Transfer,Marketplace
CUST2330,Ryan Gutierrez,Male,53,Ghana,New,ORD000021,11/7/2024,7/15/2024,7/23/2024,8,Delivered,PROD389,HyperGrid Shoes,Fashion,Shoes,HyperGrid,SupplyHub Ltd,4,195.02,780.08,25.51,83.96,160.85,20.62,Lagos,FedEx,3,No,1068,120,No,Wallet,Store
CUST5460,Bryan Mahoney,Female,46,Nigeria,Vip,ORD000022,10/23/2023,10/26/2023,10/29/2023,3,Pending,PROD941,Auralis Accessories,Electronics,Accessories,Auralis,GlobalTech,1,1955.15,1955.15,59.82,68.2,582.31,29.78,Lagos,GIG,1,Yes,3422,508,Yes,Cash,Website
CUST8451,Angela Hogan,Male,38,South Africa,Vip,ORD000023,3/1/2022,7/1/2022,1/14/2022,7,Delivered,PROD874,HyperGrid Shoes,Fashion,Shoes,HyperGrid,NextWave,1,279.75,279.75,7.29,146.11,51.72,18.49,Lagos,FedEx,0,Yes,1890,59,No,Card,Mobile_App
CUST9165,Cathy Rodriguez,Male,50,Kenya,New,ORD000024,9/15/2024,9/17/2024,9/19/2024,2,Returned,PROD620,Zentrix Cooling,Home Appliances,Cooling,Zentrix,SupplyHub Ltd,5,1296.18,6480.9,0.15,110.28,2013.04,31.06,Accra,GIG,4,Yes,4571,782,No,Cash,Store
CUST6272,Keith Baker,Female,33,South Africa,New,ORD000025,4/21/2024,4/20/2024,4/24/2024,4,Returned,PROD911,Zentrix VR,Gaming,VR,Zentrix,NextWave,1,255.38,255.38,5.98,137.01,-36.15,-14.16,Lagos,GIG,1,Yes,2823,408,No,Card,Marketplace
CUST9742,Raymond Phillips,Male,58,South Africa,Vip,ORD000026,3/15/2022,3/18/2022,3/18/2022,0,Returned,PROD192,HyperGrid Cooling,Home Appliances,Cooling,HyperGrid,SupplyHub Ltd,2,1071.6,2143.2,17.6,59.35,-149.89,-6.99,Accra,GIG,2,Yes,3183,635,No,Transfer,Store
CUST3344,Ronald Atkinson,Female,34,Kenya,Returning,ORD000027,8/10/2024,8/11/2024,8/20/2024,9,Returned,PROD406,HyperGrid Shoes,Fashion,Shoes,HyperGrid,SupplyHub Ltd,8,127.71,1021.68,34.32,88.35,404.57,39.6,Lagos,DHL,3,No,451,78,No,Cash,Marketplace
CUST4770,Charles Bailey,Male,32,Ghana,Returning,ORD000028,10/8/2022,10/12/2022,10/12/2022,0,Returned,PROD693,Auralis Consoles,Gaming,Consoles,Auralis,PrimeSource,2,360.83,721.66,52.59,58.05,90.92,12.6,Lagos,FedEx,4,No,2824,118,No,Card,Mobile_App
CUST4696,Kimberly Flores,Female,61,Kenya,New,ORD000029,3/19/2024,3/18/2024,3/21/2024,3,Returned,PROD490,Auralis Shoes,Fashion,Shoes,Auralis,SupplyHub Ltd,4,284.09,1136.36,38.86,97.13,119.71,10.53,Lagos,GIG,0,Yes,4085,119,No,Transfer,Mobile_App
CUST7367,Joseph Delgado,Female,65,South Africa,Returning,ORD000030,11/13/2022,11/15/2022,11/24/2022,9,Returned,PROD806,Auralis Men Wear,Fashion,Men Wear,Auralis,PrimeSource,8,121.55,972.4,54.1,98.5,-113.48,-11.67,Lagos,FedEx,4,No,1787,329,No,Card,Website
CUST6464,Denise Warner,Male,54,Nigeria,Returning,ORD000031,3/1/2023,4/3/2023,3/6/2023,2,Cancelled,PROD979,Zentrix Laptops,Electronics,Laptops,Zentrix,PrimeSource,5,2036.58,10182.9,47.31,90.38,-1439.05,-14.13,Lagos,DHL,1,No,3722,371,No,Card,Store
CUST9254,Daniel White,Female,20,Kenya,New,ORD000032,5/3/2022,4/3/2022,3/10/2022,6,Delivered,PROD554,NovaTech VR,Gaming,VR,NovaTech,SupplyHub Ltd,6,814.73,4888.38,19.51,149.22,693.2,14.18,Abuja,UPS,0,No,4566,739,No,Cash,Store
CUST4743,Zachary Cooper,Female,43,Nigeria,New,ORD000033,3/10/2023,10/7/2023,10/10/2023,3,Returned,PROD951,NovaTech Smartphones,Electronics,Smartphones,NovaTech,SupplyHub Ltd,7,422.1,2954.7,33.7,52.8,-244.57,-8.28,Lagos,GIG,3,Yes,898,148,No,Transfer,Mobile_App
CUST8900,Maurice Neal,Male,40,Kenya,New,ORD000034,7/25/2023,7/28/2023,7/30/2023,2,Cancelled,PROD773,Auralis Accessories,Electronics,Accessories,Auralis,SupplyHub Ltd,3,828.52,2485.56,8.6,100.31,-277.71,-11.17,Lagos,DHL,4,Yes,1339,190,No,Wallet,Website
CUST1861,Sally Maddox,Female,21,Nigeria,New,ORD000035,5/18/2024,5/20/2024,5/28/2024,8,Delivered,PROD540,NovaTech Laptops,Electronics,Laptops,NovaTech,GlobalTech,8,1411.95,11295.6,12.27,142.07,3072.88,27.2,Lagos,UPS,0,Yes,1108,98,No,Transfer,Marketplace
CUST2180,Melissa Johnston,Female,20,Nigeria,New,ORD000036,6/9/2022,6/14/2022,6/18/2022,4,Returned,PROD217,HyperGrid Gaming Accessories,Gaming,Gaming Accessories,HyperGrid,SupplyHub Ltd,6,874.09,5244.54,26.2,20.35,470.03,8.96,Abuja,UPS,3,Yes,1427,40,No,Card,Mobile_App
CUST6724,Sarah Maxwell,Female,27,Nigeria,New,ORD000037,2/9/2023,2/9/2023,2/17/2023,8,Delivered,PROD872,OmniCore Gaming Accessories,Gaming,Gaming Accessories,OmniCore,NextWave,8,1185.86,9486.88,58.26,50.84,871.56,9.19,Abuja,GIG,5,Yes,4206,76,No,Cash,Store
CUST1616,Oscar Wood,Male,22,Nigeria,Returning,ORD000038,11/4/2024,11/6/2024,11/12/2024,6,Delivered,PROD767,Zentrix VR,Gaming,VR,Zentrix,GlobalTech,8,1001.52,8012.16,58.94,17.23,1645.46,20.54,Lagos,FedEx,5,Yes,3104,290,No,Cash,Marketplace
CUST1857,Beth Roberts,Female,39,Kenya,New,ORD000039,3/2/2024,3/3/2024,3/6/2024,3,Delivered,PROD696,Zentrix Men Wear,Fashion,Men Wear,Zentrix,GlobalTech,5,129.75,648.75,18.57,59.62,185.16,28.54,Lagos,DHL,5,Yes,3020,317,No,Transfer,Marketplace
CUST8967,Barbara Stevens,Male,27,Kenya,Returning,ORD000040,7/27/2022,7/30/2022,8/6/2022,7,Pending,PROD234,OmniCore Shoes,Fashion,Shoes,OmniCore,NextWave,3,235.91,707.73,26.26,64.57,157.12,22.2,Lagos,GIG,4,No,2009,159,No,Transfer,Marketplace
CUST8218,Rebecca Bush,Male,42,South Africa,Vip,ORD000041,2/13/2023,2/18/2023,2/26/2023,8,Pending,PROD667,NovaTech Gaming Accessories,Gaming,Gaming Accessories,NovaTech,GlobalTech,2,1100.57,2201.14,26.25,142.23,-61.37,-2.79,Abuja,UPS,4,Yes,3213,84,Yes,Transfer,Website
CUST6221,Andrea Wade,Female,59,Ghana,New,ORD000042,8/11/2023,8/16/2023,8/22/2023,6,Returned,PROD105,NovaTech VR,Gaming,VR,NovaTech,SupplyHub Ltd,5,789.32,3946.6,46.57,39.46,-327.5,-8.3,Lagos,GIG,1,No,4938,549,No,Transfer,Mobile_App
CUST5772,Cynthia Guerrero,Female,40,South Africa,New,ORD000043,6/25/2022,6/28/2022,7/2/2022,4,Cancelled,PROD994,HyperGrid Laptops,Electronics,Laptops,HyperGrid,SupplyHub Ltd,7,2456.39,17194.73,43.98,96.1,4716.96,27.43,Lagos,FedEx,2,No,3970,647,No,Transfer,Website
CUST8498,David May,Male,20,Ghana,Vip,ORD000044,9/10/2023,10/10/2023,10/17/2023,7,Returned,PROD295,Auralis Accessories,Electronics,Accessories,Auralis,GlobalTech,1,2191.34,2191.34,44.6,134.72,137.3,6.27,Lagos,GIG,5,Yes,3527,81,No,Transfer,Marketplace
CUST6262,Heather Rowe,Male,60,Kenya,New,ORD000045,5/22/2024,5/22/2024,1/6/2024,10,Delivered,PROD545,Auralis Shoes,Fashion,Shoes,Auralis,SupplyHub Ltd,2,163.66,327.32,1.87,128.06,72.98,22.3,Abuja,DHL,3,No,4696,34,No,Transfer,Store
CUST7077,Dale Bartlett,Male,54,Kenya,New,ORD000046,7/25/2023,7/25/2023,7/25/2023,0,Returned,PROD220,Auralis VR,Gaming,VR,Auralis,GlobalTech,8,1198.56,9588.48,8.14,15.74,-527.74,-5.5,Abuja,DHL,3,No,581,71,No,Wallet,Marketplace
CUST3580,Charles Knapp,Female,58,Kenya,Returning,ORD000047,9/6/2022,6/9/2022,9/7/2022,1,Returned,PROD922,OmniCore Women Wear,Fashion,Women Wear,OmniCore,PrimeSource,2,220.74,441.48,24.57,88.36,-35.79,-8.11,Lagos,DHL,3,No,4865,187,Yes,Cash,Website
CUST3034,Andrea Long DVM,Male,28,Kenya,Vip,ORD000048,7/4/2023,4/8/2023,4/15/2023,7,Delivered,PROD740,Auralis Men Wear,Fashion,Men Wear,Auralis,GlobalTech,2,283.65,567.3,43.24,92.75,177.79,31.34,Accra,DHL,0,No,4774,272,No,Transfer,Store
CUST1496,Tracy Hamilton,Female,52,Kenya,New,ORD000049,4/11/2024,4/12/2024,4/18/2024,6,Delivered,PROD595,HyperGrid Gaming Accessories,Gaming,Gaming Accessories,HyperGrid,PrimeSource,6,920.91,5525.46,58.52,23.96,297.25,5.38,Accra,DHL,3,Yes,1204,25,No,Wallet,Store
CUST7850,Jesus Parrish,Male,38,Kenya,New,ORD000050,11/23/2022,11/25/2022,2/12/2022,7,Returned,PROD502,OmniCore Smartphones,Electronics,Smartphones,OmniCore,NextWave,4,694.83,2779.32,39.26,73.24,403.5,14.52,Lagos,GIG,3,Yes,420,52,No,Transfer,Marketplace
CUST5728,Timothy Taylor,Female,46,Kenya,Returning,ORD000051,1/9/2022,1/9/2022,1/9/2022,0,Cancelled,PROD303,OmniCore Men Wear,Fashion,Men Wear,OmniCore,NextWave,7,58.37,408.59,27.42,92.91,54.56,13.35,Lagos,GIG,5,No,2805,520,No,Cash,Marketplace
CUST8780,James Soto,Male,39,Nigeria,Vip,ORD000052,9/23/2023,9/28/2023,10/8/2023,10,Cancelled,PROD771,OmniCore Gaming Accessories,Gaming,Gaming Accessories,OmniCore,NextWave,4,810.48,3241.92,50.47,26.43,727.49,22.44,Lagos,GIG,0,No,2619,429,Yes,Cash,Mobile_App
CUST7723,Allen Dominguez,Female,48,Nigeria,Returning,ORD000053,11/28/2024,11/28/2024,5/12/2024,7,Cancelled,PROD277,HyperGrid Gaming Accessories,Gaming,Gaming Accessories,HyperGrid,SupplyHub Ltd,6,864.78,5188.68,15.86,75.21,1953.72,37.65,Lagos,UPS,3,No,1748,251,Yes,Cash,Marketplace
CUST5480,Rachel Ramos,Female,61,South Africa,Vip,ORD000054,3/19/2024,3/24/2024,3/28/2024,4,Returned,PROD552,Auralis Laptops,Electronics,Laptops,Auralis,NextWave,4,664.76,2659.04,36.94,90.09,-44.27,-1.66,Accra,FedEx,0,Yes,3919,103,No,Transfer,Website
CUST3587,Sarah Irwin,Female,48,Ghana,Returning,ORD000055,8/12/2023,8/13/2023,8/16/2023,41,Pending,PROD856,NovaTech Cooling,Home Appliances,Cooling,NovaTech,PrimeSource,7,346.1,2422.7,29.72,140.81,918.62,37.92,Lagos,DHL,3,No,4500,537,No,Transfer,Store
CUST5470,Joshua Gonzalez,Male,39,South Africa,Returning,ORD000056,1/17/2023,1/16/2023,1/26/2023,10,Pending,PROD725,HyperGrid Kitchen,Home Appliances,Kitchen,HyperGrid,NextWave,6,1036.96,6221.76,14.88,42.81,-127.32,-2.05,Lagos,UPS,1,No,2995,242,Yes,Card,Store
CUST6026,Emily Rice,Female,50,Kenya,Returning,ORD000057,8/28/2023,8/29/2023,9/6/2023,8,Returned,PROD865,OmniCore Cleaning,Home Appliances,Cleaning,OmniCore,GlobalTech,7,1377.92,9645.44,45.71,103.65,1713.97,17.77,Lagos,DHL,1,Yes,4536,518,Yes,Transfer,Mobile_App
CUST6375,Rhonda Long,Female,25,Ghana,Returning,ORD000058,9/28/2024,9/27/2024,4/10/2024,7,Delivered,PROD677,NovaTech Gaming Accessories,Gaming,Gaming Accessories,NovaTech,GlobalTech,8,417.18,26699.52,13.07,15.59,2216.96,8.3,Lagos,DHL,1,Yes,2401,210,Yes,Transfer,Store
CUST7135,Karen Jenkins,Female,46,South Africa,New,ORD000059,9/30/2022,10/4/2022,10/8/2022,4,Returned,PROD328,NovaTech Cooling,Home Appliances,Cooling,NovaTech,SupplyHub Ltd,5,1106.73,5533.65,27.64,27.49,-256.41,-4.63,Lagos,DHL,1,Yes,601,13,No,Card,Store
CUST1797,Leslie Gallagher,Male,43,Ghana,Returning,ORD000060,4/26/2022,4/26/2022,5/3/2022,7,Cancelled,PROD712,Auralis Shoes,Fashion,Shoes,Auralis,PrimeSource,5,165.95,829.75,33.4,90.79,211.06,25.44,Lagos,GIG,0,No,3172,538,Yes,Cash,Store
CUST3444,Lori Phillips,Male,52,Ghana,Returning,ORD000061,9/8/2023,9/13/2023,9/23/2023,10,Cancelled,PROD670,OmniCore Gaming Accessories,Gaming,Gaming Accessories,OmniCore,PrimeSource,7,1118.34,7828.38,5.55,110.06,-354.12,-4.52,Lagos,GIG,1,No,4628,223,No,Transfer,Marketplace
CUST5967,Alison Clark,Male,31,Nigeria,Returning,ORD000062,9/7/2024,9/7/2024,9/17/2024,10,Returned,PROD429,Auralis Cooling,Home Appliances,Cooling,Auralis,NextWave,8,602.96,4823.68,5.92,147.29,522.02,10.82,Lagos,FedEx,5,No,1245,5,Yes,Cash,Marketplace
CUST3497,Stephanie Webster,Male,42,Ghana,New,ORD000063,11/23/2023,11/24/2023,11/30/2023,6,Returned,PROD850,Auralis Consoles,Gaming,Consoles,Auralis,PrimeSource,3,719.24,2157.72,3.52,9.9,681.16,31.57,Lagos,DHL,2,No,1287,5,No,Cash,Marketplace
CUST1990,Dalton Kelly,Female,57,South Africa,New,ORD000064,12/25/2024,12/28/2024,1/2/2025,5,Pending,PROD393,NovaTech Shoes,Fashion,Shoes,NovaTech,GlobalTech,7,49.96,349.72,11.52,81.34,104.35,29.84,Lagos,GIG,4,No,1900,154,No,Card,Website
CUST2531,Miss Sandra Adkins,Female,53,Nigeria,Returning,ORD000065,12/17/2022,12/16/2022,12/22/2022,6,Cancelled,PROD143,Zentrix Accessories,Electronics,Accessories,Zentrix,PrimeSource,8,823.52,6588.16,39.49,31.01,2093.29,31.77,Lagos,FedEx,4,Yes,1380,124,No,Cash,Marketplace
CUST7288,Brittany Francis,Male,62,Nigeria,Returning,ORD000066,10/12/2023,12/9/2023,12/9/2023,0,Returned,PROD130,Auralis Gaming Accessories,Gaming,Gaming Accessories,Auralis,NextWave,8,345.02,2760.16,22.8,116.96,34.39,1.25,Lagos,DHL,2,Yes,3004,110,Yes,Card,Marketplace
CUST8286,Anthony Richards,Male,24,Nigeria,New,ORD000067,7/8/2024,11/7/2024,7/18/2024,7,Delivered,PROD667,NovaTech Laptops,Electronics,Laptops,NovaTech,GlobalTech,6,2186.55,13119.3,33.57,148.95,-216.36,-1.65,Accra,FedEx,3,Yes,4089,150,No,Transfer,Store
CUST5521,Jesse Fletcher,Female,22,Kenya,Vip,ORD000068,10/12/2024,10/15/2024,10/23/2024,8,Delivered,PROD505,Auralis Men Wear,Fashion,Men Wear,Auralis,GlobalTech,7,113.73,796.11,58.45,24.74,20.99,2.64,Lagos,GIG,3,No,4072,590,Yes,Wallet,Store
CUST5592,Kelly Montgomery,Female,41,Ghana,Returning,ORD000069,1/4/2023,1/8/2023,1/15/2023,7,Pending,PROD916,Auralis Cleaning,Home Appliances,Cleaning,Auralis,SupplyHub Ltd,7,294.85,2063.95,25.39,59.66,200.18,9.7,Accra,GIG,4,Yes,4448,609,No,Card,Website
CUST5067,Jeffrey Walker,Male,28,Nigeria,Returning,ORD000070,3/29/2024,4/3/2024,4/7/2024,4,Delivered,PROD622,OmniCore Men Wear,Fashion,Men Wear,OmniCore,NextWave,4,236.26,945.04,20.7,8.56,-87.41,-9.25,Abuja,DHL,2,Yes,2860,467,Yes,Cash,Marketplace
CUST8801,Mackenzie Olson,Female,62,Kenya,New,ORD000071,4/2/2022,4/7/2022,4/17/2022,10,Pending,PROD919,Zentrix Accessories,Electronics,Accessories,Zentrix,PrimeSource,3,1469.39,4408.17,37.79,32.03,932.41,21.15,Abuja,DHL,4,No,86,7,No,Wallet,Website
CUST2667,Julie Mclaughlin,Female,29,Kenya,New,ORD000072,8/22/2022,8/23/2022,9/1/2022,9,Returned,PROD501,OmniCore VR,Gaming,VR,OmniCore,SupplyHub Ltd,6,857.27,5143.62,55.12,90.57,1129.85,21.97,Lagos,DHL,0,No,1208,131,No,Cash,Mobile_App
CUST7286,Bradley Guerrero,Female,58,Ghana,Returning,ORD000073,9/29/2024,9/30/2024,1/10/2024,1,Cancelled,PROD109,HyperGrid Laptops,Electronics,Laptops,HyperGrid,PrimeSource,4,2075,8300,24.94,126.78,985.91,11.88,Lagos,FedEx,3,Yes,1891,276,Yes,Transfer,Store
CUST9115,Jorge Davidson,Male,54,Kenya,Returning,ORD000074,1/22/2024,1/25/2024,1/24/2024,-1,Delivered,PROD853,Zentrix Consoles,Gaming,Consoles,Zentrix,GlobalTech,1,611.02,611.02,46.54,39.36,180.79,29.59,Accra,UPS,4,No,1190,201,Yes,Transfer,Website
CUST6747,Angela Pratt,Female,52,Kenya,Vip,ORD000075,8/23/2023,8/24/2023,9/1/2023,8,Delivered,PROD160,Auralis Cleaning,Home Appliances,Cleaning,Auralis,PrimeSource,3,1095.95,3287.85,29.37,88.73,-7.25,-0.22,Abuja,GIG,1,No,2329,356,Yes,Cash,Store
CUST6362,Desiree Hill,Female,23,South Africa,Returning,ORD000076,1/4/2024,9/1/2024,1/9/2024,0,Returned,PROD374,Auralis Cleaning,Home Appliances,Cleaning,Auralis,GlobalTech,6,282.83,1696.98,45.74,11.66,329.89,19.44,Abuja,DHL,4,Yes,3554,208,No,Transfer,Marketplace
CUST3604,Christopher Beck,Male,23,Kenya,New,ORD000077,2/1/2024,2/5/2024,2/14/2024,9,Pending,PROD816,Zentrix Shoes,Fashion,Shoes,Zentrix,NextWave,2,153.51,307.02,40.8,6.35,71.41,23.26,Lagos,GIG,2,Yes,889,27,No,Wallet,Marketplace
CUST3246,Michael Reyes,Male,59,Ghana,New,ORD000078,1/18/2022,1/21/2022,1/30/2022,9,Pending,PROD866,Zentrix Cooling,Home Appliances,Cooling,Zentrix,NextWave,8,221.36,1770.88,23.04,144.67,40.69,2.3,Lagos,FedEx,0,No,269,43,No,Transfer,Mobile_App
CUST7418,Megan Robertson,Male,33,South Africa,New,ORD000079,10/20/2024,10/24/2024,11/1/2024,8,Returned,PROD496,OmniCore Men Wear,Fashion,Men Wear,OmniCore,NextWave,6,151.88,911.28,35.24,7,-28.56,-3.13,Lagos,GIG,5,No,3345,85,No,Transfer,Marketplace
CUST2369,Timothy Mitchell,Female,31,Ghana,Returning,ORD000080,3/11/2024,3/14/2024,3/23/2024,9,Delivered,PROD547,Zentrix Shoes,Fashion,Shoes,Zentrix,SupplyHub Ltd,4,146.94,587.76,44.5,112.4,-49.55,-8.43,Lagos,DHL,5,Yes,3096,130,No,Wallet,Website
CUST1480,William Hughes,Female,35,Nigeria,New,ORD000081,6/7/2022,9/6/2022,6/15/2022,6,Returned,PROD261,Auralis Cleaning,Home Appliances,Cleaning,Auralis,SupplyHub Ltd,2,812.35,1624.7,28.31,60.53,-109.59,-6.75,Lagos,UPS,4,Yes,2083,214,No,Wallet,Marketplace
CUST2276,Nicole Glass,Male,50,Nigeria,New,ORD000082,11/22/2024,11/21/2024,11/26/2024,5,Returned,PROD666,HyperGrid Men Wear,Fashion,Men Wear,HyperGrid,SupplyHub Ltd,6,105.09,630.54,35.5,76.54,173.36,27.49,Lagos,UPS,1,Yes,1958,278,No,Card,Marketplace
CUST1023,Christopher Moss,Female,65,Kenya,New,ORD000083,12/21/2024,12/21/2024,12/26/2024,5,Pending,PROD144,Zentrix Men Wear,Fashion,Men Wear,Zentrix,PrimeSource,7,292.88,2050.16,8.01,123.89,-223.15,-10.88,Accra,DHL,2,Yes,2630,403,No,Wallet,Marketplace
CUST8417,Mark Glover Jr.,Male,30,Nigeria,New,ORD000084,3/12/2022,5/12/2022,12/11/2022,6,Cancelled,PROD562,Auralis Men Wear,Fashion,Men Wear,Auralis,NextWave,5,246.13,1230.65,36.2,36.18,395.18,32.11,Lagos,DHL,4,No,2498,134,No,Card,Store
CUST8408,Jennifer Good,Female,33,South Africa,New,ORD000085,10/14/2022,10/13/2022,10/12/2022,-1,Delivered,PROD802,NovaTech Gaming Accessories,Gaming,Gaming Accessories,NovaTech,GlobalTech,5,357.64,1788.2,48.56,18.34,565.07,31.6,Lagos,DHL,2,No,3285,509,No,Cash,Store
